dominio,categoria_provisional,certeza,criterio,authority_score_exportado,urls_ejemplo,fuente,accion
quero.party,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,6,https://quero.party/report/54030; https://quero.party/report/90295; https://quero.party/report/90294; https://quero.party/report/4631,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,revisión humana; sin outreach
screenshots.wiki,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,6,https://screenshots.wiki/report/5973; https://screenshots.wiki/report/54031; https://screenshots.wiki/report/90294,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,revisión humana; sin outreach
anchorurl.cloud,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,5,https://anchorurl.cloud/share/5973; https://anchorurl.cloud/share/54030; https://anchorurl.cloud/share/54031; https://anchorurl.cloud/share/90295; https://anchorurl.cloud/share/90294,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,revisión humana; sin outreach
atomizelink.icu,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,5,https://atomizelink.icu/report/5973; https://atomizelink.icu/report/5972; https://atomizelink.icu/report/54031; https://atomizelink.icu/report/54030; https://atomizelink.icu/report/90295,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,revisión humana; sin outreach
urls-shortener.eu,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,5,https://urls-shortener.eu/share/54031; https://urls-shortener.eu/share/90295,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,revisión humana; sin outreach
blinks.sbs,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,4,https://blinks.sbs/domain/domain/part/34248; http://blinks.sbs/domain/domain/part/34248/; http://blinks.sbs/domain/domain/part/34248; http://blinks.sbs/domain/domain/part/92951; https://blinks.sbs/domain/domain/part/92951,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,revisión humana; sin outreach
domains.com.bz,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,4,https://www.domains.com.bz/page/34248/; https://www.domains.com.bz/page/92951/,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page2-20260903.json,revisión humana; sin outreach
knows.monster,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,4,https://knows.monster/domain/domain/part/34248; https://www.knows.monster/domain/domain/part/34248; http://knows.monster/domain/domain/part/92951/lan/ar; http://www.knows.monster/domain/domain/part/92951,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page2-20260903.json,revisión humana; sin outreach
seodomains.website,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,3,http://www.seodomains.website/domain/domain/part/34248; http://seodomains.website/domain/domain/part/34248; https://seodomains.website/domain/domain/part/92951,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,revisión humana; sin outreach
wants.cfd,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,3,http://wants.cfd/domain/domain/part/34248; https://wants.cfd/domain/domain/part/34248/mustdafa24.wordpress.com; https://wants.cfd/domain/domain/part/34248/gooddafa24.wordpress.com; https://wants.cfd/domain/domain/part/34248/; https://wants.cfd/domain/domain/part/34248,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,revisión humana; sin outreach
bestnz-poker-casinoslot.com,basura/PBN,señal explícita en exportación; validar página,Anclas comerciales de enlaces o PBN: excluir de oportunidades; no implica contratación por competidores.,2,https://bestnz-poker-casinoslot.com/all/431/24.html; https://bestnz-poker-casinoslot.com/all/1147/8.html; https://bestnz-poker-casinoslot.com/all/1166/21.html,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,excluir de prospección
betwinnermirror.com,basura/PBN,señal explícita en exportación; validar página,Anclas comerciales de enlaces o PBN: excluir de oportunidades; no implica contratación por competidores.,2,https://betwinnermirror.com/all/431/24.html; https://betwinnermirror.com/all/1147/8.html; https://betwinnermirror.com/all/1166/21.html; https://betwinnermirror.com/all/1724/21.html,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,excluir de prospección
blinks.monster,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,2,https://www.blinks.monster/domain/domain/part/34248; https://blinks.monster/domain/domain/part/92951,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,revisión humana; sin outreach
blissq.pages.dev,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,2,https://blissq.pages.dev/00/bNpUxXHVcM,08-backlink-gap/backlink-gap-integrales-page1-20260903.json,revisión humana; sin outreach
blogerreviewers.com,basura/PBN,señal explícita en exportación; validar página,Anclas comerciales de enlaces o PBN: excluir de oportunidades; no implica contratación por competidores.,2,https://blogerreviewers.com/all/431/24.html; https://blogerreviewers.com/all/1147/8.html; https://blogerreviewers.com/all/1166/21.html; https://blogerreviewers.com/all/1724/21.html; https://blogerreviewers.com/all/2051/19.html,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,excluir de prospección
clifflisting.com,basura/PBN,señal explícita en exportación; validar página,Anclas comerciales de enlaces o PBN: excluir de oportunidades; no implica contratación por competidores.,2,https://clifflisting.com/all/1147/8.html; https://clifflisting.com/all/1724/21.html; https://clifflisting.com/all/2051/19.html,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,excluir de prospección
cmocheatsheets.com,basura/PBN,señal explícita en exportación; validar página,Anclas comerciales de enlaces o PBN: excluir de oportunidades; no implica contratación por competidores.,2,https://cmocheatsheets.com/all/1147/8.html,08-backlink-gap/backlink-gap-integrales-page1-20260903.json,excluir de prospección
coruzants.com,basura/PBN,señal explícita en exportación; validar página,Anclas comerciales de enlaces o PBN: excluir de oportunidades; no implica contratación por competidores.,2,https://coruzants.com/all/1147/8.html,08-backlink-gap/backlink-gap-integrales-page1-20260903.json,excluir de prospección
knows.sbs,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,2,http://knows.sbs/domain/domain/part/34248; http://www.knows.sbs/domain/domain/part/34248; http://knows.sbs/domain/domain/part/34248/; https://knows.sbs/domain/domain/part/34248/quote.aspx?o=abs&stockid=13675%2C38407; https://knows.sbs/domain/domain/part/34248/mustdafa24.wordpress.com,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page2-20260903.json,revisión humana; sin outreach
newsblogsports.site,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,2,https://newsblogsports.site/all/197/25,08-backlink-gap/backlink-gap-integrales-page1-20260903.json,revisión humana; sin outreach
royaldb.us.com,basura/PBN,señal explícita en exportación; validar página,Anclas comerciales de enlaces o PBN: excluir de oportunidades; no implica contratación por competidores.,2,https://royaldb.us.com/all/431/24.html; https://royaldb.us.com/all/1147/9.html; https://royaldb.us.com/all/1166/21.html,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,excluir de prospección
seol.store,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,2,http://www.seol.store/domain/domain/part/34248; http://seol.store/domain/domain/part/34248; https://seol.store/domain/domain/part/34248; http://seol.store/domain/domain/part/92951; https://seol.store/domain/domain/part/92951/,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page2-20260903.json,revisión humana; sin outreach
takes.homes,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,2,http://takes.homes/domain/domain/part/34248; https://takes.homes/domain/domain/part/34248; https://takes.homes/domain/domain/part/92951,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page2-20260903.json,revisión humana; sin outreach
takes.sbs,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,2,http://takes.sbs/domain/domain/part/34248; https://takes.sbs/domain/domain/part/34248/mustdafa24.wordpress.com; https://takes.sbs/domain/domain/part/34248/gooddafa24.wordpress.com; https://takes.sbs/domain/domain/part/34248/; https://takes.sbs/domain/domain/part/34248,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page2-20260903.json,revisión humana; sin outreach
2gis.cl,directorio legítimo,candidato sin legitimar,La etiqueta es un casillero de revisión; comprobar identidad editorial y descartar enlaces automatizados.,46,https://2gis.cl/santiago/firm/14215014604869191,08-backlink-gap/backlink-gap-integrales-page1-20260903.json,revisión humana; sin outreach
sitelike.org,directorio legítimo,candidato sin legitimar,La etiqueta es un casillero de revisión; comprobar identidad editorial y descartar enlaces automatizados.,45,https://www.sitelike.org/similar/gac.cl/; https://www.sitelike.org/similar/better.cl/; https://www.sitelike.org/similar/poch.com/,08-backlink-gap/backlink-gap-integrales-page1-20260903.json,revisión humana; sin outreach
siteprice.org,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,38,https://www.siteprice.org/competitors/gac.cl,08-backlink-gap/backlink-gap-integrales-page1-20260903.json,revisión humana; sin outreach
todosnegocios.com,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,38,,08-backlink-gap/backlink-gap-integrales-page1-20260903.json,revisión humana; sin outreach
ecohubmap.com,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,34,,08-backlink-gap/backlink-gap-integrales-page1-20260903.json,revisión humana; sin outreach
archivo.biz,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,26,,08-backlink-gap/backlink-gap-integrales-page1-20260903.json,revisión humana; sin outreach
direcmin.com,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,26,https://www.direcmin.com/gesti-n-ambiental-consultores-s-a/productos-o-servicios; https://www.direcmin.com/gesti-n-ambiental-consultores-s-a/informacion-de-contacto; https://www.direcmin.com/gesti-n-ambiental-consultores-s-a/ejecutivos; https://www.direcmin.com/gesti-n-ambiental-consultores-s-a/certificacion,08-backlink-gap/backlink-gap-integrales-page1-20260903.json,revisión humana; sin outreach
tntcode.com,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,26,,08-backlink-gap/backlink-gap-integrales-page1-20260903.json,revisión humana; sin outreach
bye.fyi,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,24,https://bye.fyi/report/5973; https://bye.fyi/report/5972; https://bye.fyi/report/54030; https://bye.fyi/report/90295; https://bye.fyi/report/90294,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,revisión humana; sin outreach
eco-web.com,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,23,https://www.eco-web.com/reg/06907.html,08-backlink-gap/backlink-gap-integrales-page1-20260903.json,revisión humana; sin outreach
daemvillarrica.cl,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,21,,08-backlink-gap/backlink-gap-integrales-page1-20260903.json,revisión humana; sin outreach
enobra.cl,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,9,https://www.enobra.cl/resultados2.php?id=458&tipo=link; https://www.enobra.cl/resultados2.php?id=2122&tipo=link; https://www.enobra.cl/resultados2.php?id=2032&tipo=link; https://www.enobra.cl/asesoria-ambiental/; http://www.enobra.cl/resultados2.php?id=2122&tipo=link,08-backlink-gap/backlink-gap-integrales-page1-20260903.json,revisión humana; sin outreach
dailymusings.top,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,6,https://dailymusings.top/stats/5973; https://dailymusings.top/stats/90295; https://dailymusings.top/stats/90294; https://dailymusings.top/stats/4631; https://dailymusings.top/stats/4250,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,revisión humana; sin outreach
optimizeflow.top,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,6,https://optimizeflow.top/stats/5973; https://optimizeflow.top/stats/54031; https://optimizeflow.top/stats/90295; https://optimizeflow.top/stats/4632; https://optimizeflow.top/stats/4631,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,revisión humana; sin outreach
firstguestpost.com,basura/PBN,señal explícita en exportación; validar página,Anclas comerciales de enlaces o PBN: excluir de oportunidades; no implica contratación por competidores.,5,http://firstguestpost.com/all/431/24.html; https://firstguestpost.com/all/431/24.html; https://firstguestpost.com/all/2051/19.html,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,excluir de prospección
m98ufa.com,basura/PBN,señal explícita en exportación; validar página,Anclas comerciales de enlaces o PBN: excluir de oportunidades; no implica contratación por competidores.,5,https://m98ufa.com/all/27/31.html; https://m98ufa.com/all/47/10.html; https://m98ufa.com/all/605/17.html; https://m98ufa.com/all/932/10.html,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,excluir de prospección
mediaboooster.com,basura/PBN,señal explícita en exportación; validar página,Anclas comerciales de enlaces o PBN: excluir de oportunidades; no implica contratación por competidores.,5,https://mediaboooster.com/all/431/24.html; https://mediaboooster.com/all/1147/8.html; https://mediaboooster.com/all/1724/21.html,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,excluir de prospección
websitescrawl.com,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,5,,08-backlink-gap/backlink-gap-integrales-page1-20260903.json,revisión humana; sin outreach
archive-hu.com,basura/PBN,señal explícita en exportación; validar página,Anclas comerciales de enlaces o PBN: excluir de oportunidades; no implica contratación por competidores.,4,https://archive-hu.com/all/431/24.html; https://www.archive-hu.com/all/431/24.html; https://archive-hu.com/all/1147/8.html; https://archive-hu.com/all/1724/21.html; https://archive-hu.com/all/2051/19.html,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,excluir de prospección
betulcrime.com,basura/PBN,señal explícita en exportación; validar página,Anclas comerciales de enlaces o PBN: excluir de oportunidades; no implica contratación por competidores.,4,https://betulcrime.com/all/431/24.html; https://betulcrime.com/all/1147/8.html,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,excluir de prospección
global-rank.pages.dev,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,4,https://global-rank.pages.dev/25/FZfRoReZLj,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,revisión humana; sin outreach
businessvocal.com,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,3,,08-backlink-gap/backlink-gap-integrales-page1-20260903.json,revisión humana; sin outreach
distrilist.eu,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,2,https://www.distrilist.eu/environmental-companies-in-chile/,08-backlink-gap/backlink-gap-integrales-page1-20260903.json,revisión humana; sin outreach
dupurgeniefr.com,basura/PBN,señal explícita en exportación; validar página,Anclas comerciales de enlaces o PBN: excluir de oportunidades; no implica contratación por competidores.,2,https://dupurgeniefr.com/all/1724/21.html; https://dupurgeniefr.com/all/2051/19.html,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,excluir de prospección
ggmap.co.com,basura/PBN,señal explícita en exportación; validar página,Anclas comerciales de enlaces o PBN: excluir de oportunidades; no implica contratación por competidores.,2,https://ggmap.co.com/all/431/24.html; https://ggmap.co.com/all/1147/8.html; https://ggmap.co.com/all/1166/21.html; https://ggmap.co.com/all/1724/22.html,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,excluir de prospección
ggmap.us.com,basura/PBN,señal explícita en exportación; validar página,Anclas comerciales de enlaces o PBN: excluir de oportunidades; no implica contratación por competidores.,2,https://ggmap.us.com/all/431/24.html; https://ggmap.us.com/all/1147/8.html; https://ggmap.us.com/all/1166/21.html,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,excluir de prospección
gladeflowers.com,basura/PBN,señal explícita en exportación; validar página,Anclas comerciales de enlaces o PBN: excluir de oportunidades; no implica contratación por competidores.,2,http://gladeflowers.com/all/431/24.html; https://gladeflowers.com/all/431/24.html; https://gladeflowers.com/all/1166/21.html,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,excluir de prospección
lawyerinjeddah.com,basura/PBN,señal explícita en exportación; validar página,Anclas comerciales de enlaces o PBN: excluir de oportunidades; no implica contratación por competidores.,2,http://lawyerinjeddah.com/all/27/31.html; http://www.lawyerinjeddah.com/all/27/31.html; https://lawyerinjeddah.com/all/27/31.html; https://lawyerinjeddah.com/all/47/10.html; http://www.lawyerinjeddah.com/all/47/10.html,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,excluir de prospección
libyanatravel.com,basura/PBN,señal explícita en exportación; validar página,Anclas comerciales de enlaces o PBN: excluir de oportunidades; no implica contratación por competidores.,2,http://libyanatravel.com/all/27/31.html; https://libyanatravel.com/all/27/31.html; https://libyanatravel.com/all/47/10.html; http://libyanatravel.com/all/47/10.html; https://libyanatravel.com/all/605/17.html,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,excluir de prospección
lydiaroyrealestate.com,basura/PBN,señal explícita en exportación; validar página,Anclas comerciales de enlaces o PBN: excluir de oportunidades; no implica contratación por competidores.,2,http://lydiaroyrealestate.com/all/27/31.html; https://lydiaroyrealestate.com/all/27/31.html; https://lydiaroyrealestate.com/all/47/10.html; http://lydiaroyrealestate.com/all/47/10.html; https://lydiaroyrealestate.com/all/605/17.html,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,excluir de prospección
masihnyata.com,basura/PBN,señal explícita en exportación; validar página,Anclas comerciales de enlaces o PBN: excluir de oportunidades; no implica contratación por competidores.,2,https://masihnyata.com/all/431/24.html; https://masihnyata.com/all/1147/8.html; https://masihnyata.com/all/1166/21.html; https://masihnyata.com/all/2051/19.html,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,excluir de prospección
missburrg.com,basura/PBN,señal explícita en exportación; validar página,Anclas comerciales de enlaces o PBN: excluir de oportunidades; no implica contratación por competidores.,2,http://missburrg.com/all/27/31.html; https://missburrg.com/all/47/10.html; http://missburrg.com/all/47/10.html; https://missburrg.com/all/605/17.html; http://missburrg.com/all/932/10.html,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,excluir de prospección
newblogerseo.com,basura/PBN,señal explícita en exportación; validar página,Anclas comerciales de enlaces o PBN: excluir de oportunidades; no implica contratación por competidores.,2,https://newblogerseo.com/all/1147/8.html; https://newblogerseo.com/all/1724/21.html,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page2-20260903.json,excluir de prospección
onlineshoppingidea.com,basura/PBN,señal explícita en exportación; validar página,Anclas comerciales de enlaces o PBN: excluir de oportunidades; no implica contratación por competidores.,2,http://onlineshoppingidea.com/all/27/31.html; http://www.onlineshoppingidea.com/all/27/31.html; https://onlineshoppingidea.com/all/27/31.html; https://onlineshoppingidea.com/all/47/10.html; http://www.onlineshoppingidea.com/all/47/10.html,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,excluir de prospección
plrdownloadshub.com,basura/PBN,señal explícita en exportación; validar página,Anclas comerciales de enlaces o PBN: excluir de oportunidades; no implica contratación por competidores.,2,http://plrdownloadshub.com/all/431/24.html; https://plrdownloadshub.com/all/1147/8.html; https://plrdownloadshub.com/all/1724/21.html,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,excluir de prospección
plumeriamarketing.com,basura/PBN,señal explícita en exportación; validar página,Anclas comerciales de enlaces o PBN: excluir de oportunidades; no implica contratación por competidores.,2,http://plumeriamarketing.com/all/27/31.html; https://plumeriamarketing.com/all/27/31.html; https://plumeriamarketing.com/all/47/10.html; http://plumeriamarketing.com/all/47/10.html; https://plumeriamarketing.com/all/605/17.html,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,excluir de prospección
soulvocable.com,basura/PBN,señal explícita en exportación; validar página,Anclas comerciales de enlaces o PBN: excluir de oportunidades; no implica contratación por competidores.,2,http://soulvocable.com/all/431/24.html; https://soulvocable.com/all/431/24.html; https://soulvocable.com/all/1166/21.html,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,excluir de prospección
thecloudherald.com,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,2,,08-backlink-gap/backlink-gap-integrales-page1-20260903.json,revisión humana; sin outreach
ufabettererm4.com,basura/PBN,señal explícita en exportación; validar página,Anclas comerciales de enlaces o PBN: excluir de oportunidades; no implica contratación por competidores.,2,http://ufabettererm4.com/all/431/24.html; https://www.ufabettererm4.com/all/431/24.html; https://ufabettererm4.com/all/431/24.html; https://ufabettererm4.com/all/2051/19.html,08-backlink-gap/backlink-gap-integrales-page1-20260903.json; 08-backlink-gap/gap-especialistas-page1-20260903.json,excluir de prospección
wikipedia.org,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,100,,08-backlink-gap/backlink-gap-integrales-page1-20260903.json,revisión humana; sin outreach
yahoo.com,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,100,,08-backlink-gap/backlink-gap-integrales-page1-20260903.json,revisión humana; sin outreach
springer.com,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,80,,08-backlink-gap/backlink-gap-integrales-page1-20260903.json,revisión humana; sin outreach
jimdofree.com,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,79,,08-backlink-gap/backlink-gap-integrales-page1-20260903.json,revisión humana; sin outreach
biobiochile.cl,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,76,,08-backlink-gap/backlink-gap-integrales-page1-20260903.json,revisión humana; sin outreach
mdpi.com,institución,sin clasificar; requiere revisión,No se deduce la naturaleza ni calidad solo del dominio.,73,https://www.mdpi.com/2571-8797/8/3/72,08-backlink-gap/backlink-gap-integrales-page1-20260903.json,revisión humana; sin outreach
